iter	Passed	Remaining
805	3628	873
806	3632	868
807	3635	863
808	3638	859
809	3643	854
810	3646	849
811	3650	845
812	3653	840
813	3662	836
814	3665	832
815	3669	827
816	3672	822
817	3675	817
818	3678	812
819	3680	808
820	3684	803
821	3686	798
822	3690	793
823	3693	788
824	3697	784
825	3700	779
826	3705	775
827	3708	770
828	3711	765
829	3715	760
830	3717	756
831	3721	751
832	3724	746
833	3729	742
834	3732	737
835	3736	733
836	3740	728
837	3744	723
838	3746	719
839	3751	714
840	3755	710
841	3759	705
842	3762	700
843	3766	696
844	3771	691
845	3775	687
846	3777	682
847	3781	677
848	3785	673
849	3789	668
850	3792	663
851	3796	659
852	3800	654
853	3804	650
854	3807	645
855	3811	641
856	3814	636
857	3818	631
858	3822	627
859	3825	622
860	3829	618
861	3832	613
862	3836	609
863	3838	604
864	3843	599
865	3847	595
866	3850	590
867	3855	586
868	3859	581
869	3863	577
870	3867	572
871	3871	568
872	3875	563
873	3878	559
874	3883	554
875	3888	550
876	3892	545
877	3895	541
878	3898	536
879	3904	532
880	3909	528
881	3914	523
882	3925	520
883	3929	515
884	3932	510
885	3936	506
886	3940	501
887	3943	497
888	3947	492
889	3951	488
890	3955	483
891	3959	479
892	3963	474
893	3967	470
894	3970	465
895	3973	461
896	3977	456
897	3981	452
898	3984	447
899	3988	443
900	3991	438
901	3995	434
902	3998	429
903	4002	425
904	4005	420
905	4009	415
906	4012	411
907	4016	406
908	4019	402
909	4023	397
910	4027	393
911	4031	388
912	4035	384
913	4038	380
914	4043	375
915	4049	371
916	4054	366
917	4057	362
918	4062	358
919	4066	353
920	4069	349
921	4074	344
922	4077	340
923	4082	335
924	4084	331
925	4088	326
926	4092	322
927	4095	317
928	4099	313
929	4101	308
930	4105	304
931	4108	299
932	4112	295
933	4115	290
934	4119	286
935	4122	281
936	4127	277
937	4133	273
938	4136	268
939	4140	264
940	4143	259
941	4147	255
942	4150	250
943	4154	246
944	4157	241
945	4162	237
946	4165	233
947	4168	228
948	4172	224
949	4177	219
950	4181	215
951	4183	210
952	4187	206
953	4190	202
954	4195	197
955	4198	193
956	4201	188
957	4205	184
958	4208	179
959	4212	175
960	4215	171
961	4218	166
962	4221	162
963	4224	157
964	4227	153
965	4231	148
966	4234	144
967	4237	140
968	4241	135
969	4244	131
970	4248	126
971	4250	122
972	4254	118
973	4256	113
974	4260	109
975	4265	104
976	4267	100
977	4270	96
978	4274	91
979	4277	87
980	4280	82
981	4283	78
982	4287	74
983	4290	69
984	4295	65
985	4301	61
986	4306	56
987	4311	52
988	4315	48
989	4320	43
990	4324	39
991	4327	34
992	4332	30
993	4335	26
994	4339	21
995	4343	17
996	4347	13
997	4351	8
998	4354	4
999	4358	0
